50.000,10.000,0.000,0.000
49.999,10.001,0.000,0.000
49.999,10.001,0.000,0.000
49.998,10.002,0.000,0.000
49.995,10.004,0.000,0.000
49.988,10.012,0.000,0.000
49.950,10.049,0.001,0.001
49.767,10.230,0.003,0.007
49.582,10.414,0.005,0.012
49.298,10.693,0.008,0.020
48.875,11.112,0.013,0.031
48.169,11.809,0.021,0.049
46.868,13.095,0.037,0.080
45.845,14.105,0.050,0.104
44.770,15.167,0.063,0.127
43.061,16.854,0.085,0.162
40.189,19.686,0.125,0.216
37.103,22.727,0.170,0.269
33.853,25.924,0.223,0.323
30.540,29.178,0.282,0.377
27.250,32.403,0.347,0.430
23.878,35.699,0.422,0.485
20.186,39.296,0.518,0.549
17.450,41.949,0.602,0.600
14.976,44.335,0.689,0.651
12.751,46.468,0.781,0.701
10.774,48.349,0.877,0.752
9.222,49.812,0.966,0.797
7.879,51.065,1.056,0.842
6.707,52.145,1.148,0.886
5.681,53.076,1.243,0.932
4.406,54.206,1.388,0.999
3.394,55.069,1.537,1.067
2.607,55.705,1.688,1.135
1.998,56.162,1.840,1.203
1.475,56.512,2.013,1.280
0.963,56.780,2.257,1.388
0.717,56.858,2.425,1.462
0.537,56.873,2.591,1.534
0.402,56.842,2.756,1.607
0.271,56.748,2.980,1.706
0.168,56.578,3.254,1.827
0.099,56.341,3.560,1.962
0.059,56.079,3.862,2.097
0.035,55.803,4.163,2.231
0.019,55.443,4.539,2.400
0.009,55.067,4.923,2.574
0.005,54.624,5.371,2.778
0.001,54.098,5.901,3.022
0.004,53.308,6.688,3.388
0.004,52.276,7.720,3.877
0.005,51.104,8.890,4.443
0.006,49.960,10.034,5.009
0.005,48.968,11.027,5.510
0.003,47.998,11.999,6.011
0.001,46.578,13.422,6.764
-0.004,45.075,14.929,7.586
-0.008,43.923,16.085,8.235
-0.011,42.799,17.212,8.885
-0.008,42.583,17.425,9.010
-0.005,42.368,17.637,9.135
-0.003,42.050,17.953,9.322
-0.001,41.594,18.407,9.593
0.000,41.004,18.996,9.950
0.001,40.193,19.806,10.449
0.004,38.903,21.093,11.262
0.009,37.545,22.446,12.147
0.019,36.228,23.753,13.032
0.037,34.788,25.174,14.032
0.060,33.400,26.540,15.032
0.051,33.320,26.628,15.098
0.044,33.242,26.713,15.162
0.035,33.125,26.840,15.257
0.026,32.959,27.015,15.389
0.016,32.678,27.306,15.611
0.009,32.345,27.646,15.873
0.005,31.970,28.025,16.168
0.003,31.504,28.493,16.536
0.002,30.905,29.093,17.017
0.002,30.143,29.855,17.641
0.002,28.961,31.037,18.641
0.001,27.826,32.173,19.641
0.000,26.736,33.264,20.641
-0.001,25.688,34.312,21.641
-0.001,24.681,35.320,22.641
-0.001,23.713,36.288,23.641
-0.001,22.783,37.218,24.641
-0.000,21.889,38.111,25.641
0.000,21.030,38.969,26.641
0.000,20.205,39.794,27.641
0.000,19.413,40.587,28.641
0.000,18.652,41.348,29.641
-0.000,17.921,42.079,30.641
-0.000,17.218,42.782,31.641
-0.000,16.543,43.457,32.641
-0.000,15.894,44.106,33.641
-0.000,15.271,44.729,34.641
0.000,14.672,45.328,35.641
0.000,14.096,45.904,36.641
0.000,13.544,46.456,37.641
0.000,13.012,46.988,38.641
-0.000,12.502,47.498,39.641
-0.000,12.012,47.988,40.641
-0.000,11.541,48.459,41.641
-0.000,11.088,48.912,42.641
-0.000,10.653,49.347,43.641
-0.000,10.236,49.764,44.641
0.000,9.834,50.166,45.641
0.000,9.448,50.552,46.641
0.000,9.078,50.922,47.641
0.000,8.722,51.278,48.641
0.000,8.380,51.620,49.641
0.000,8.051,51.949,50.641
0.000,7.736,52.264,51.641
0.000,7.432,52.568,52.641
0.000,7.141,52.859,53.641
0.000,6.861,53.139,54.641
0.000,6.592,53.408,55.641
0.000,6.333,53.667,56.641
0.000,6.085,53.915,57.641
0.000,5.846,54.154,58.641
0.000,5.617,54.383,59.641
0.000,5.397,54.603,60.641
0.000,5.185,54.815,61.641
0.000,4.982,55.018,62.641
0.000,4.786,55.214,63.641
0.000,4.599,55.401,64.641
0.000,4.418,55.582,65.641
0.000,4.245,55.755,66.641
0.000,4.078,55.922,67.641
0.000,3.919,56.081,68.641
0.000,3.765,56.235,69.641
0.000,3.617,56.383,70.641
0.000,3.475,56.525,71.641
0.000,3.339,56.661,72.641
0.000,3.208,56.792,73.641
0.000,3.082,56.918,74.641
0.000,2.961,57.039,75.641
0.000,2.845,57.155,76.641
0.000,2.734,57.266,77.641
0.000,2.627,57.373,78.641
0.000,2.524,57.476,79.641
0.000,2.488,57.512,80.000
